date,pharmacy_id,barcode,daily_sales,lag_1,lag_7,lag_14,roll_mean_7,roll_mean_14,day_of_week,is_weekend,month,target_next_day
2024-01-02,Ph01_Z01_C01,1062,2.0,0.0,0.0,0.0,2.0,2.0,1,0,1,1.0
2024-01-03,Ph01_Z01_C01,1062,1.0,2.0,0.0,0.0,1.5,1.5,2,0,1,4.0
2024-01-04,Ph01_Z01_C01,1062,4.0,1.0,0.0,0.0,2.3333333333333335,2.3333333333333335,3,0,1,2.0
2024-01-05,Ph01_Z01_C01,1062,2.0,4.0,0.0,0.0,2.25,2.25,4,0,1,1.0
2024-01-06,Ph01_Z01_C01,1062,1.0,2.0,0.0,0.0,2.0,2.0,5,1,1,2.0
2024-01-07,Ph01_Z01_C01,1062,2.0,1.0,0.0,0.0,2.0,2.0,6,1,1,3.0
2024-01-08,Ph01_Z01_C01,1062,3.0,2.0,0.0,0.0,2.142857142857143,2.142857142857143,0,0,1,0.0
2024-01-09,Ph01_Z01_C01,1062,0.0,3.0,2.0,0.0,1.8571428571428572,1.875,1,0,1,1.0
2024-01-10,Ph01_Z01_C01,1062,1.0,0.0,1.0,0.0,1.8571428571428572,1.7777777777777777,2,0,1,0.0
2024-01-11,Ph01_Z01_C01,1062,0.0,1.0,4.0,0.0,1.2857142857142858,1.6,3,0,1,1.0
2024-01-12,Ph01_Z01_C01,1062,1.0,0.0,2.0,0.0,1.1428571428571428,1.5454545454545454,4,0,1,1.0
2024-01-13,Ph01_Z01_C01,1062,1.0,1.0,1.0,0.0,1.1428571428571428,1.5,5,1,1,0.0
2024-01-14,Ph01_Z01_C01,1062,0.0,1.0,2.0,0.0,0.8571428571428571,1.3846153846153846,6,1,1,0.0
2024-01-15,Ph01_Z01_C01,1062,0.0,0.0,3.0,0.0,0.42857142857142855,1.2857142857142858,0,0,1,0.0
2024-01-16,Ph01_Z01_C01,1062,0.0,0.0,0.0,2.0,0.42857142857142855,1.1428571428571428,1,0,1,1.0
2024-01-17,Ph01_Z01_C01,1062,1.0,0.0,1.0,1.0,0.42857142857142855,1.1428571428571428,2,0,1,2.0
2024-01-18,Ph01_Z01_C01,1062,2.0,1.0,0.0,4.0,0.7142857142857143,1.0,3,0,1,1.0
2024-01-19,Ph01_Z01_C01,1062,1.0,2.0,1.0,2.0,0.7142857142857143,0.9285714285714286,4,0,1,1.0
2024-01-20,Ph01_Z01_C01,1062,1.0,1.0,1.0,1.0,0.7142857142857143,0.9285714285714286,5,1,1,3.0
2024-01-21,Ph01_Z01_C01,1062,3.0,1.0,0.0,2.0,1.1428571428571428,1.0,6,1,1,1.0
2024-01-22,Ph01_Z01_C01,1062,1.0,3.0,0.0,3.0,1.2857142857142858,0.8571428571428571,0,0,1,1.0
2024-01-23,Ph01_Z01_C01,1062,1.0,1.0,0.0,0.0,1.4285714285714286,0.9285714285714286,1,0,1,3.0
2024-01-24,Ph01_Z01_C01,1062,3.0,1.0,1.0,1.0,1.7142857142857142,1.0714285714285714,2,0,1,0.0
2024-01-25,Ph01_Z01_C01,1062,0.0,3.0,2.0,0.0,1.4285714285714286,1.0714285714285714,3,0,1,1.0
2024-01-26,Ph01_Z01_C01,1062,1.0,0.0,1.0,1.0,1.4285714285714286,1.0714285714285714,4,0,1,0.0
2024-01-27,Ph01_Z01_C01,1062,0.0,1.0,1.0,1.0,1.2857142857142858,1.0,5,1,1,0.0
2024-01-28,Ph01_Z01_C01,1062,0.0,0.0,3.0,0.0,0.8571428571428571,1.0,6,1,1,0.0
2024-01-29,Ph01_Z01_C01,1062,0.0,0.0,1.0,0.0,0.7142857142857143,1.0,0,0,1,1.0
2024-01-30,Ph01_Z01_C01,1062,1.0,0.0,1.0,0.0,0.7142857142857143,1.0714285714285714,1,0,1,1.0
2024-01-31,Ph01_Z01_C01,1062,1.0,1.0,3.0,1.0,0.42857142857142855,1.0714285714285714,2,0,1,2.0
2024-02-01,Ph01_Z01_C01,1062,2.0,1.0,0.0,2.0,0.7142857142857143,1.0714285714285714,3,0,2,2.0
2024-02-02,Ph01_Z01_C01,1062,2.0,2.0,1.0,1.0,0.8571428571428571,1.1428571428571428,4,0,2,1.0
2024-02-03,Ph01_Z01_C01,1062,1.0,2.0,0.0,1.0,1.0,1.1428571428571428,5,1,2,1.0
2024-02-04,Ph01_Z01_C01,1062,1.0,1.0,0.0,3.0,1.1428571428571428,1.0,6,1,2,0.0
2024-02-05,Ph01_Z01_C01,1062,0.0,1.0,0.0,1.0,1.1428571428571428,0.9285714285714286,0,0,2,2.0
2024-02-06,Ph01_Z01_C01,1062,2.0,0.0,1.0,1.0,1.2857142857142858,1.0,1,0,2,0.0
2024-02-07,Ph01_Z01_C01,1062,0.0,2.0,1.0,3.0,1.1428571428571428,0.7857142857142857,2,0,2,2.0
2024-02-08,Ph01_Z01_C01,1062,2.0,0.0,2.0,0.0,1.1428571428571428,0.9285714285714286,3,0,2,0.0
2024-02-09,Ph01_Z01_C01,1062,0.0,2.0,2.0,1.0,0.8571428571428571,0.8571428571428571,4,0,2,1.0
2024-02-10,Ph01_Z01_C01,1062,1.0,0.0,1.0,0.0,0.8571428571428571,0.9285714285714286,5,1,2,1.0
2024-02-11,Ph01_Z01_C01,1062,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,6,1,2,2.0
2024-02-12,Ph01_Z01_C01,1062,2.0,1.0,0.0,0.0,1.1428571428571428,1.1428571428571428,0,0,2,0.0
2024-02-13,Ph01_Z01_C01,1062,0.0,2.0,2.0,1.0,0.8571428571428571,1.0714285714285714,1,0,2,0.0
2024-02-14,Ph01_Z01_C01,1062,0.0,0.0,0.0,1.0,0.8571428571428571,1.0,2,0,2,1.0
2024-02-15,Ph01_Z01_C01,1062,1.0,0.0,2.0,2.0,0.7142857142857143,0.9285714285714286,3,0,2,0.0
2024-02-16,Ph01_Z01_C01,1062,0.0,1.0,0.0,2.0,0.7142857142857143,0.7857142857142857,4,0,2,2.0
2024-02-17,Ph01_Z01_C01,1062,2.0,0.0,1.0,1.0,0.8571428571428571,0.8571428571428571,5,1,2,0.0
2024-02-18,Ph01_Z01_C01,1062,0.0,2.0,1.0,1.0,0.7142857142857143,0.7857142857142857,6,1,2,2.0
2024-02-19,Ph01_Z01_C01,1062,2.0,0.0,2.0,0.0,0.7142857142857143,0.9285714285714286,0,0,2,0.0
2024-02-20,Ph01_Z01_C01,1062,0.0,2.0,0.0,2.0,0.7142857142857143,0.7857142857142857,1,0,2,1.0
2024-02-21,Ph01_Z01_C01,1062,1.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,2,0,2,1.0
2024-02-22,Ph01_Z01_C01,1062,1.0,1.0,1.0,2.0,0.8571428571428571,0.7857142857142857,3,0,2,1.0
2024-02-23,Ph01_Z01_C01,1062,1.0,1.0,0.0,0.0,1.0,0.8571428571428571,4,0,2,0.0
2024-02-24,Ph01_Z01_C01,1062,0.0,1.0,2.0,1.0,0.7142857142857143,0.7857142857142857,5,1,2,0.0
